CódigoFabrico;CódigoComercial;Descrição Breve;Descrição Completa;Unidade;Categoria;
1000001;3,2003E+11;Aglomerado Negro;Aglomerado Negro;UN;ME-AN;
1100001;3,2003E+11;Aparas;Aparas;UN;ME-AP;
1200001;3,2003E+11;Amostras;Amostras;UN;ME-BR;
1200002;3,2003E+11;Blocos;Blocos;UN;ME-BR;
1200003;3,2003E+11;Blocos Borracha;Blocos Borracha;UN;ME-BR;
1200004;3,2003E+11;Borracha DS;Borracha DS;UN;ME-BR;
1200005;3,2003E+11;Cilindros;Cilindros;UN;ME-BR;
1200006;3,2003E+11;Fol. e rolos/Spheroil;Fol. e rolos/Spheroil;UN;ME-BR;
1200007;3,2003E+11;Folhas;Folhas;UN;ME-BR;
1200008;3,2003E+11;Juntas;Juntas;UN;ME-BR;
1200010;3,2003E+11;Rolos;Rolos;UN;ME-BR;
1200011;3,2003E+11;hermoCork;hermoCork;UN;ME-BR;
1300001;3,2003E+11;Calcanheiras;Calcanheiras;UN;ME-CC;
1300002;3,2003E+11;Insock Orthema;Insock Orthema;UN;ME-CC;
1300003;3,2003E+11;Insock Paromed;Insock Paromed;UN;ME-CC;
1300004;3,2003E+11;Meias Palmilhas;Meias Palmilhas;UN;ME-CC;
1300005;3,2003E+11;Orthofit;Orthofit;UN;ME-CC;
1300007;3,2003E+11;Palmilhas c/ Bicolor;Palmilhas c/ Bicolor;UN;ME-CC;
1300008;3,2003E+11;Palmilhas c/ Caraculo;Palmilhas c/ Caraculo;UN;ME-CC;
1300009;3,2003E+11;Palmilhas c/ Latex;Palmilhas c/ Latex;UN;ME-CC;
1300010;3,2003E+11;Palmilhas c/ Pele Nat;Palmilhas c/ Pele Nat;UN;ME-CC;
1300011;3,2003E+11;Palmilhas c/ Tecido;Palmilhas c/ Tecido;UN;ME-CC;
1300012;3,2003E+11;Palmilhas Moldadas;Palmilhas Moldadas;UN;ME-CC;
1300013;3,2003E+11;Pellets;Pellets;UN;ME-CC;
1300014;3,2003E+11;Plataformas Ortopedica;Plataformas Ortopedica;UN;ME-CC;
1300015;3,2003E+11;Solados;Solados;UN;ME-CC;
1300016;3,2003E+11;Tacões Moldados;Tacões Moldados;UN;ME-CC;
1300017;3,2003E+11;Pasta;Pasta;UN;ME-CC;
1400002;3,2003E+11;Memoboards;Memoboards;UN;ME-GI;
